date,ES=F,CL=F,GC=F,ZN=F
2019-01-02,2511.0,46.540000915527344,1281.0,122.1875
2019-01-03,2447.75,47.09000015258789,1291.800048828125,123.15625
2019-01-04,2531.25,47.959999084472656,1282.699951171875,122.296875
2019-01-07,2550.5,48.52000045776367,1286.800048828125,122.046875
2019-01-08,2572.5,49.779998779296875,1283.199951171875,121.75
2019-01-09,2582.5,52.36000061035156,1289.300048828125,121.71875
2019-01-10,2594.0,52.59000015258789,1284.699951171875,121.71875
2019-01-11,2595.0,51.59000015258789,1287.0999755859375,121.953125
2019-01-14,2580.5,50.5099983215332,1289.0999755859375,121.90625
2019-01-15,2605.5,52.11000061035156,1286.199951171875,121.90625
2019-01-16,2613.25,52.310001373291016,1291.5999755859375,121.71875
2019-01-17,2635.25,52.06999969482422,1291.0,121.515625
2019-01-18,2671.5,53.79999923706055,1281.300048828125,121.171875
2019-01-22,2632.0,52.56999969482422,1282.5,121.578125
2019-01-23,2638.25,52.619998931884766,1283.0999755859375,121.390625
2019-01-24,2634.0,53.130001068115234,1279.0999755859375,121.75
2019-01-25,2663.5,53.689998626708984,1297.4000244140625,121.40625
2019-01-28,2642.0,51.9900016784668,1302.4000244140625,121.5
2019-01-29,2640.25,53.310001373291016,1308.199951171875,121.78125
2019-01-30,2682.5,54.22999954223633,1309.9000244140625,122.0
2019-01-31,2704.5,53.790000915527344,1319.699951171875,122.46875
2019-02-01,2704.25,55.2599983215332,1316.9000244140625,121.9375
2019-02-04,2721.25,54.560001373291016,1314.300048828125,121.71875
2019-02-05,2731.0,53.65999984741211,1314.199951171875,121.875
2019-02-06,2729.5,54.0099983215332,1309.5,121.890625
2019-02-07,2704.0,52.63999938964844,1309.4000244140625,122.28125
2019-02-08,2706.25,52.720001220703125,1313.699951171875,122.375
2019-02-11,2708.25,52.40999984741211,1307.0,122.125
2019-02-12,2744.75,53.099998474121094,1309.199951171875,121.953125
2019-02-13,2749.5,53.900001525878906,1310.800048828125,121.75
2019-02-14,2743.5,54.40999984741211,1309.800048828125,122.171875
2019-02-15,2777.0,55.59000015258789,1318.0999755859375,122.046875
2019-02-19,2778.75,56.09000015258789,1340.0999755859375,122.21875
2019-02-20,2787.0,56.91999816894531,1343.300048828125,122.15625
2019-02-21,2774.25,56.959999084472656,1323.5,121.90625
2019-02-22,2791.25,57.2599983215332,1329.199951171875,122.140625
2019-02-25,2797.0,55.47999954223633,1325.9000244140625,122.03125
2019-02-26,2791.5,55.5,1325.0999755859375,122.328125
2019-02-27,2795.0,56.939998626708984,1317.699951171875,121.921875
2019-02-28,2784.75,57.220001220703125,1312.800048828125,121.75
2019-03-01,2805.0,55.79999923706055,1296.4000244140625,121.4375
2019-03-04,2791.5,56.59000015258789,1284.800048828125,121.671875
2019-03-05,2791.5,56.560001373291016,1282.0,121.6875
2019-03-06,2771.5,56.220001220703125,1284.9000244140625,121.9375
2019-03-07,2750.0,56.65999984741211,1283.800048828125,122.421875
2019-03-08,2747.0,56.06999969482422,1297.0,122.515625
2019-03-11,2784.0,56.790000915527344,1288.800048828125,122.40625
2019-03-12,2792.0,56.869998931884766,1296.300048828125,122.609375
2019-03-13,2814.5,58.2599983215332,1307.5,122.59375
2019-03-14,2807.25,58.61000061035156,1293.4000244140625,122.453125
2019-03-15,2811.889892578125,58.52000045776367,1301.800048828125,122.703125
2019-03-18,2840.5,59.09000015258789,1300.300048828125,122.59375
2019-03-19,2836.5,59.029998779296875,1305.0,122.5
2019-03-20,2827.0,59.83000183105469,1300.5,122.6875
2019-03-21,2862.5,59.97999954223633,1306.0999755859375,123.359375
2019-03-22,2810.75,59.040000915527344,1311.5999755859375,124.03125
2019-03-25,2807.0,58.81999969482422,1321.9000244140625,124.328125
2019-03-26,2823.0,59.939998626708984,1314.300048828125,124.40625
2019-03-27,2810.5,59.40999984741211,1309.9000244140625,124.6875
2019-03-28,2821.0,59.29999923706055,1289.800048828125,124.5
2019-03-29,2837.75,60.13999938964844,1293.0,124.21875
2019-04-01,2870.5,61.59000015258789,1288.4000244140625,123.609375
2019-04-02,2867.0,62.58000183105469,1290.0,123.765625
2019-04-03,2879.75,62.459999084472656,1289.9000244140625,123.5
2019-04-04,2882.75,62.099998474121094,1289.0,123.546875
2019-04-05,2896.0,63.08000183105469,1290.4000244140625,123.59375
2019-04-08,2898.25,64.4000015258789,1297.0999755859375,123.453125
2019-04-09,2882.5,63.97999954223633,1303.5,123.640625
2019-04-10,2894.5,64.61000061035156,1309.0999755859375,123.796875
2019-04-11,2891.75,63.58000183105469,1288.5999755859375,123.5625
2019-04-12,2912.5,63.88999938964844,1290.5999755859375,123.09375
2019-04-15,2909.5,63.400001525878906,1286.800048828125,123.15625
2019-04-16,2911.5,64.05000305175781,1272.5999755859375,122.828125
2019-04-17,2900.5,63.7599983215332,1272.199951171875,122.859375
2019-04-18,2910.0,64.0,1271.9000244140625,123.140625
2019-04-22,2912.5,65.69999694824219,1273.5,122.9375
2019-04-23,2938.0,66.30000305175781,1269.300048828125,123.125
2019-04-24,2930.75,65.88999938964844,1275.5,123.53125
2019-04-25,2926.25,65.20999908447266,1275.800048828125,123.390625
2019-04-26,2941.5,63.29999923706055,1284.9000244140625,123.671875
2019-04-29,2943.0,63.5,1278.5999755859375,123.4375
2019-04-30,2948.5,63.90999984741211,1282.800048828125,123.671875
2019-05-01,2923.0,63.599998474121094,1281.4000244140625,123.578125
2019-05-02,2917.5,61.810001373291016,1269.699951171875,123.171875
2019-05-03,2947.5,61.939998626708984,1279.199951171875,123.34375
2019-05-06,2932.5,62.25,1281.699951171875,123.625
2019-05-07,2890.75,61.400001525878906,1283.5,124.015625
2019-05-08,2887.25,62.119998931884766,1279.4000244140625,123.75
2019-05-09,2872.75,61.70000076293945,1283.5,123.984375
2019-05-10,2887.0,61.65999984741211,1285.699951171875,123.984375
2019-05-13,2807.0,61.040000915527344,1300.0999755859375,124.421875
2019-05-14,2839.25,61.779998779296875,1294.699951171875,124.328125
2019-05-15,2855.0,62.02000045776367,1296.300048828125,124.671875
2019-05-16,2878.5,62.869998931884766,1285.0,124.421875
2019-05-17,2862.0,62.7599983215332,1274.5,124.484375
2019-05-20,2844.0,63.099998474121094,1276.0999755859375,124.28125
2019-05-21,2866.0,62.9900016784668,1272.0,124.140625
2019-05-22,2857.5,61.41999816894531,1273.5999755859375,124.4375
2019-05-23,2819.5,57.90999984741211,1284.800048828125,125.203125
2019-05-24,2831.75,58.630001068115234,1283.0,124.890625
2019-05-28,2805.0,59.13999938964844,1276.5,125.390625
2019-05-29,2780.0,58.810001373291016,1280.5999755859375,125.625
2019-05-30,2790.5,56.59000015258789,1287.0999755859375,125.6875
2019-05-31,2752.5,53.5,1305.800048828125,126.375
2019-06-03,2749.5,53.25,1322.699951171875,126.890625
2019-06-04,2805.0,53.47999954223633,1323.4000244140625,126.59375
2019-06-05,2827.75,51.68000030517578,1328.300048828125,126.640625
2019-06-06,2845.75,52.59000015258789,1337.5999755859375,126.609375
2019-06-07,2875.0,53.9900016784668,1341.199951171875,126.890625
2019-06-10,2889.25,53.2599983215332,1324.699951171875,126.4375
2019-06-11,2887.0,53.27000045776367,1326.4000244140625,126.4375
2019-06-12,2881.0,51.13999938964844,1331.9000244140625,126.640625
2019-06-13,2894.5,52.279998779296875,1339.199951171875,127.0
2019-06-14,2890.5,52.5099983215332,1340.0999755859375,126.9375
2019-06-17,2892.0,51.93000030517578,1338.699951171875,126.96875
2019-06-18,2921.75,53.900001525878906,1346.5999755859375,127.140625
2019-06-19,2929.0,53.7599983215332,1344.5999755859375,126.90625
2019-06-20,2955.75,56.650001525878906,1392.9000244140625,128.0625
2019-06-21,2953.89990234375,57.43000030517578,1396.199951171875,127.515625
2019-06-24,2952.0,57.900001525878906,1414.300048828125,127.9375
2019-06-25,2922.0,57.83000183105469,1414.9000244140625,128.125
2019-06-26,2918.0,59.380001068115234,1411.5999755859375,127.59375
2019-06-27,2931.0,59.43000030517578,1408.4000244140625,127.9375
2019-06-28,2944.25,58.470001220703125,1409.699951171875,127.96875
2019-07-01,2967.75,59.09000015258789,1385.5999755859375,127.6875
2019-07-02,2979.5,56.25,1404.5999755859375,128.140625
2019-07-03,3000.25,57.34000015258789,1417.699951171875,128.25
2019-07-05,2990.5,57.5099983215332,1396.699951171875,127.46875
2019-07-08,2978.5,57.65999984741211,1397.0,127.5
2019-07-09,2982.0,57.83000183105469,1397.5,127.296875
2019-07-10,2997.5,60.43000030517578,1410.0999755859375,127.4375
2019-07-11,3004.0,60.20000076293945,1404.300048828125,126.984375
2019-07-12,3015.5,60.209999084472656,1409.9000244140625,127.109375
2019-07-15,3017.25,59.58000183105469,1411.4000244140625,127.171875
2019-07-16,3007.0,57.619998931884766,1409.199951171875,126.921875
2019-07-17,2985.0,56.779998779296875,1421.300048828125,127.359375
2019-07-18,2997.5,55.29999923706055,1426.0999755859375,127.640625
2019-07-19,2977.0,55.630001068115234,1425.0999755859375,127.53125
2019-07-22,2989.0,56.220001220703125,1425.300048828125,127.59375
2019-07-23,3008.0,56.77000045776367,1420.0999755859375,127.359375
2019-07-24,3021.5,55.880001068115234,1422.800048828125,127.515625
2019-07-25,3006.5,56.02000045776367,1413.9000244140625,127.28125
2019-07-26,3024.5,56.20000076293945,1418.5,127.21875
2019-07-29,3021.75,56.869998931884766,1419.5999755859375,127.453125
2019-07-30,3012.25,58.04999923706055,1429.699951171875,127.34375
2019-07-31,2982.25,58.58000183105469,1426.0999755859375,127.421875
2019-08-01,2952.0,53.95000076293945,1420.9000244140625,128.6875
2019-08-02,2932.5,55.65999984741211,1445.5999755859375,128.859375
2019-08-05,2830.0,54.689998626708984,1464.5999755859375,129.84375
2019-08-06,2876.0,53.630001068115234,1472.4000244140625,129.765625
2019-08-07,2880.5,51.09000015258789,1507.300048828125,130.15625
2019-08-08,2940.0,52.540000915527344,1497.699951171875,129.921875
2019-08-09,2919.75,54.5,1496.5999755859375,129.6875
2019-08-12,2880.25,54.93000030517578,1505.300048828125,130.375
2019-08-13,2932.0,57.099998474121094,1502.199951171875,129.828125
2019-08-14,2840.75,55.22999954223633,1515.9000244140625,130.515625
2019-08-15,2848.5,54.470001220703125,1519.5999755859375,130.953125
2019-08-16,2891.5,54.869998931884766,1512.5,130.921875
2019-08-19,2923.75,56.209999084472656,1500.4000244140625,130.4375
2019-08-20,2898.25,56.34000015258789,1504.5999755859375,130.734375
2019-08-21,2929.25,55.68000030517578,1504.5999755859375,130.53125
2019-08-22,2922.25,55.349998474121094,1497.300048828125,130.296875
2019-08-23,2855.5,54.16999816894531,1526.5999755859375,130.953125
2019-08-26,2883.25,53.63999938964844,1526.300048828125,130.78125
2019-08-27,2865.5,54.93000030517578,1541.0,131.140625
