date,ES=F,CL=F,GC=F,ZN=F
2019-01-02,0.0,0.0,0.0,0.0
2019-01-03,0.0,0.0,0.0,0.0
2019-01-04,0.0,0.0,0.0,0.0
2019-01-07,0.0,0.0,0.0,0.0
2019-01-08,0.0,0.0,0.0,0.0
2019-01-09,0.0,0.0,0.0,0.0
2019-01-10,0.0,0.0,0.0,0.0
2019-01-11,0.0,0.0,0.0,0.0
2019-01-14,0.0,0.0,0.0,0.0
2019-01-15,0.0,0.0,0.0,0.0
2019-01-16,0.0,0.0,0.0,0.0
2019-01-17,0.0,0.0,0.0,0.0
2019-01-18,0.0,0.0,0.0,0.0
2019-01-22,0.0,0.0,0.0,0.0
2019-01-23,0.0,0.0,0.0,0.0
2019-01-24,0.0,0.0,0.0,0.0
2019-01-25,0.0,0.0,0.0,0.0
2019-01-28,0.0,0.0,0.0,0.0
2019-01-29,0.0,0.0,0.0,0.0
2019-01-30,0.0,0.0,0.0,0.0
2019-01-31,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0
2019-02-04,0.0,0.0,0.0,0.0
2019-02-05,0.0,0.0,0.0,0.0
2019-02-06,0.0,0.0,0.0,0.0
2019-02-07,0.0,0.0,0.0,0.0
2019-02-08,0.0,0.0,0.0,0.0
2019-02-11,0.0,0.0,0.0,0.0
2019-02-12,0.0,0.0,0.0,0.0
2019-02-13,0.0,0.0,0.0,0.0
2019-02-14,0.0,0.0,0.0,0.0
2019-02-15,0.0,0.0,0.0,0.0
2019-02-19,0.0,0.0,0.0,0.0
2019-02-20,0.0,0.0,0.0,0.0
2019-02-21,0.0,0.0,0.0,0.0
2019-02-22,0.0,0.0,0.0,0.0
2019-02-25,0.0,0.0,0.0,0.0
2019-02-26,0.0,0.0,0.0,0.0
2019-02-27,0.0,0.0,0.0,0.0
2019-02-28,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0
2019-03-04,0.0,0.0,0.0,0.0
2019-03-05,0.0,0.0,0.0,0.0
2019-03-06,0.0,0.0,0.0,0.0
2019-03-07,0.0,0.0,0.0,0.0
2019-03-08,0.0,0.0,0.0,0.0
2019-03-11,0.0,0.0,0.0,0.0
2019-03-12,0.0,0.0,0.0,0.0
2019-03-13,0.0,0.0,0.0,0.0
2019-03-14,0.0,0.0,0.0,0.0
2019-03-15,0.0,0.0,0.0,0.0
2019-03-18,0.0,0.0,0.0,0.0
2019-03-19,0.0,0.0,0.0,0.0
2019-03-20,0.0,0.0,0.0,0.0
2019-03-21,0.0,0.0,0.0,0.0
2019-03-22,0.0,0.0,0.0,0.0
2019-03-25,0.0,0.0,0.0,0.0
2019-03-26,0.0,0.0,0.0,0.0
2019-03-27,0.0,0.0,0.0,0.0
2019-03-28,0.0,0.0,0.0,0.0
2019-03-29,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0
2019-04-02,0.0,0.0,0.0,0.0
2019-04-03,0.0,0.0,0.0,0.0
2019-04-04,0.0,0.0,0.0,0.0
2019-04-05,0.0,0.0,0.0,0.0
2019-04-08,0.0,0.0,0.0,0.0
2019-04-09,0.0,0.0,0.0,0.0
2019-04-10,0.0,0.0,0.0,0.0
2019-04-11,0.0,0.0,0.0,0.0
2019-04-12,0.0,0.0,0.0,0.0
2019-04-15,0.0,0.0,0.0,0.0
2019-04-16,0.0,0.0,0.0,0.0
2019-04-17,0.0,0.0,0.0,0.0
2019-04-18,0.0,0.0,0.0,0.0
2019-04-22,0.0,0.0,0.0,0.0
2019-04-23,0.0,0.0,0.0,0.0
2019-04-24,0.0,0.0,0.0,0.0
2019-04-25,0.0,0.0,0.0,0.0
2019-04-26,0.0,0.0,0.0,0.0
2019-04-29,0.0,0.0,0.0,0.0
2019-04-30,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0
2019-05-02,0.0,0.0,0.0,0.0
2019-05-03,0.0,0.0,0.0,0.0
2019-05-06,0.0,0.0,0.0,0.0
2019-05-07,0.0,0.0,0.0,0.0
2019-05-08,0.0,0.0,0.0,0.0
2019-05-09,0.0,0.0,0.0,0.0
2019-05-10,0.0,0.0,0.0,0.0
2019-05-13,0.0,0.0,0.0,0.0
2019-05-14,0.0,0.0,0.0,0.0
2019-05-15,0.0,0.0,0.0,0.0
2019-05-16,0.0,0.0,0.0,0.0
2019-05-17,0.0,0.0,0.0,0.0
2019-05-20,0.0,0.0,0.0,0.0
2019-05-21,0.0,0.0,0.0,0.0
2019-05-22,0.0,0.0,0.0,0.0
2019-05-23,0.0,0.0,0.0,0.0
2019-05-24,0.0,0.0,0.0,0.0
2019-05-28,0.8118432325498715,0.454865063472448,-1.0,1.0
2019-05-29,0.8010446804045372,0.4506043762122959,-1.0,1.0
2019-05-30,0.796721640769411,0.4546530022999088,-1.0,1.0
2019-05-31,0.7959185752265181,0.4157343819757971,-1.0,1.0
2019-06-03,0.7703592506702812,0.3673787772990044,-1.0,1.0
2019-06-04,0.808179956417462,0.3691139062834206,-1.0,1.0
2019-06-05,0.7091461043034888,0.3694762978930048,-1.0,1.0
2019-06-06,0.7195434508941576,0.35626591749085224,-1.0,1.0
2019-06-07,0.7112105530188152,0.3510598238182457,-1.0,1.0
2019-06-10,0.697584591160968,-0.3312063942863086,-1.0,1.0
2019-06-11,0.6975901957086625,-0.33105226241749075,1.0,1.0
2019-06-12,0.8615444923046678,-0.3304555877568752,1.0,1.0
2019-06-13,0.8902486207548315,-0.3208381627252527,1.0,1.0
2019-06-14,0.8925826699353092,-0.3098587877692271,1.0,1.0
2019-06-17,0.9107178488364696,-0.31418395581935593,1.0,1.0
2019-06-18,0.9233943332370119,-0.3148171859497653,1.0,1.0
2019-06-19,0.9118579799071204,-0.2911506404638536,1.0,1.0
2019-06-20,0.9256038780305619,-0.29124952928305353,1.0,1.0
2019-06-21,0.9119756184852419,-0.26222877655117743,0.8178120056802702,1.0
2019-06-24,0.9986741682621378,-0.28772443063257735,0.8215677004649087,1.0
2019-06-25,0.9970083775725029,-0.2886574522844457,0.8132320831162473,1.0
2019-06-26,0.9897013003418661,-0.289552861903837,0.8330109583160225,1.0
2019-06-27,1.0,-0.2825391508244965,0.8203441577856235,1.0
2019-06-28,1.0,-0.29936031170826327,0.8087634703650655,1.0
2019-07-01,1.0,-0.34245409154682777,0.8318170072984306,1.0
2019-07-02,1.0,-0.34359264453528976,0.7627808938323185,1.0
2019-07-03,1.0,-0.30350835369878376,0.7411256493579998,1.0
2019-07-05,1.0,-0.31933152544673243,0.734523047452662,1.0
2019-07-08,1.0,-0.32150746561449567,0.6887067880458793,1.0
2019-07-09,1.0,-0.32906771339745106,0.688205605328288,1.0
2019-07-10,1.0,-0.3339260053895939,0.7206546561804313,1.0
2019-07-11,1.0,-0.31150113529882867,0.7150893375296095,1.0
2019-07-12,1.0,-0.3441503602936118,0.7075556488259389,1.0
2019-07-15,1.0,-0.3468276651380014,0.7085132304719698,1.0
2019-07-16,1.0,-0.3415351495304481,0.7087296353268995,1.0
2019-07-17,1.0,-0.3220147374567207,0.7080994879063368,1.0
2019-07-18,1.0,-0.33418666103840144,0.704333373517644,1.0
2019-07-19,1.0,-0.3221439291684945,0.7072287609343303,1.0
2019-07-22,1.0,-0.3732018815231574,0.9977677940185083,1.0
2019-07-23,1.0,-0.37508158600392766,0.9980359060627202,1.0
2019-07-24,1.0,-0.3743598279953527,1.0,1.0
2019-07-25,1.0,-0.3696027069159952,1.0,1.0
2019-07-26,1.0,-0.389029835523244,1.0,1.0
2019-07-29,1.0,-0.38845857272412804,1.0,1.0
2019-07-30,1.0,-0.3887725205424077,1.0,1.0
2019-07-31,1.0,-0.380383125422194,1.0,1.0
2019-08-01,1.0,-0.4522701299615203,1.0,1.0
2019-08-02,1.0,-0.31660184292139015,1.0,1.0
2019-08-05,1.0,-0.3022002001287868,1.0,1.0
2019-08-06,0.8280605302202905,-0.29952898164835273,1.0,1.0
2019-08-07,0.7570765993348647,-0.296762228244041,1.0,1.0
2019-08-08,0.764395619442387,-0.3068351205367396,1.0,1.0
2019-08-09,0.6854361099322589,-0.29208158717968996,1.0,1.0
2019-08-12,0.6846915252227612,-0.27422985726379223,0.9965022823587191,1.0
2019-08-13,0.6672677695663276,-0.2732954140516172,0.9952585822436153,1.0
2019-08-14,0.6222473915605182,-0.2668602042004536,0.9930843384500408,1.0
2019-08-15,0.5497250801682096,-0.26012420474146636,0.9905290494719203,1.0
2019-08-16,0.5509751698427626,-0.263854439146247,0.9902714992743756,1.0
2019-08-19,0.5325781446190747,-0.2637006849519382,0.9712734664340974,1.0
2019-08-20,0.5245102860247838,-0.2599184516420682,0.9300825206571941,1.0
2019-08-21,0.5248776233011903,-0.26058813359975735,0.944906282841161,1.0
2019-08-22,0.5178052606976019,-0.26144172844026886,0.9422121696682976,1.0
2019-08-23,0.5185260344097721,-0.2612117023611157,0.9509821120374273,1.0
2019-08-26,0.49740498455855164,-0.2581059719476292,0.8648141858732358,1.0
2019-08-27,-0.4896994287571317,-0.25909546707420017,0.8629484059692047,1.0
2019-08-28,-0.4889731564493204,-0.25785864067948777,0.8564544504258856,1.0
2019-08-29,-0.48679247534760384,-0.25649286180619885,0.8579391113025585,1.0
2019-08-30,-0.4817547482289485,-0.3176230302967363,0.839677852651362,1.0
2019-09-03,-0.4837880720217144,-0.31825471890300167,0.8790496593911864,1.0
2019-09-04,-0.558637499717455,-0.3163368860393144,0.8467954092238822,1.0
2019-09-05,-0.5685060361228218,-0.29938353036686616,0.8486505164603932,1.0
2019-09-06,-0.5606510542568977,-0.33586005826607407,0.8279428865698814,1.0
2019-09-09,-0.5920138731160882,-0.3457191845806513,0.8289120608190867,1.0
2019-09-10,-0.5973399161361946,-0.35992924910060375,0.8270307645205093,1.0
2019-09-11,-0.6191307371101278,-0.35817816460053814,0.8207178230953003,1.0
2019-09-12,0.6445242678289775,-0.37170240567158963,0.8191312883855109,1.0
2019-09-13,0.8327214771987592,-0.3940832027738753,0.8389599995696412,1.0
2019-09-16,0.8274316975771938,-0.39887792925410265,0.8363614802624278,1.0
2019-09-17,0.8646369657681011,-0.20367326257358842,0.8213376315161666,1.0
2019-09-18,0.8913379980794502,-0.19187089219128428,0.8366785530265272,1.0
2019-09-19,0.9259161398412239,-0.19017367419234726,0.8379345055326172,1.0
2019-09-20,0.9550214411753019,-0.19077750515110992,0.8287516658236744,1.0
