date,event_type,label,pre_window_return,event_day_return,post_window_return,full_window_return
2023-02-01,FOMC,FOMC policy statement,0.0023995154744052005,0.006753521978219447,-0.01371111380127532,-0.004667591697371187
2023-03-22,FOMC,FOMC policy statement,0.0066536864112147764,0.0016349672864946212,-0.006731784822513354,0.0015118767695292412
2023-05-03,FOMC,FOMC policy statement,-0.0019913837690912484,-0.0036984163428417146,0.010242392971287595,0.004501756091835674
2023-06-14,FOMC,FOMC policy statement,0.007529971086523757,0.002459408025148306,-0.0056319415615205815,0.0043195929226240715
2023-07-26,FOMC,FOMC policy statement,-0.0006321233949043714,-0.003354865570477577,0.004874232100365861,0.0008699406511292196
2023-09-20,FOMC,FOMC policy statement,0.004693075926160528,-0.006790605319608654,0.012964343749717777,0.010807339279418793
2023-11-01,FOMC,FOMC policy statement,0.000872851765970406,-0.0036382930240509686,-0.01842803005430338,-0.02114562684653798
2023-12-13,FOMC,FOMC policy statement,0.002309570109616521,0.005894089704510863,0.00425944223068897,0.012511715856272199
2024-01-31,FOMC,FOMC policy statement,0.0002456176061886861,0.0021879724351802987,0.005695261836407228,0.008143252275476076
2024-03-20,FOMC,FOMC policy statement,0.01076176535994633,-0.0025496318316183086,0.0032724741550858027,0.011483953346705711
2024-05-01,FOMC,FOMC policy statement,-0.006445240339020053,-0.008218825714808621,0.0068386678442291515,-0.00787234631953826
2024-06-12,FOMC,FOMC policy statement,-0.004539761801876652,0.0014386775219051929,-0.0029618057451721302,-0.006060217124862599
2024-07-31,FOMC,FOMC policy statement,-0.008112094190163899,-0.00012737059542834695,-0.008283451822543753,-0.01645364071508648
2024-09-18,FOMC,FOMC policy statement,0.0033298125519154453,-0.0004101068449600093,0.016064318081343787,0.019029539353465852
2024-11-07,FOMC,FOMC policy statement,-0.0068745800450362715,0.0017694332828659632,-0.0046579831822496365,-0.009751457707173117
2024-12-18,FOMC,FOMC policy statement,-0.003142921496230744,-0.0069841639787169875,0.01169501505991355,0.001471700560447653
