fold,test_start,test_end,observations,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,hit_rate,average_daily_turnover
1,2020-01-02,2020-04-01,63.0,0.00998910374858264,0.04055910505175686,0.0664234370638908,0.6106143681294935,-0.03858026814537574,1.0512914243862845,0.49206349206349204,0.03477744587582608
2,2020-04-02,2020-07-01,63.0,0.05362161096140694,0.23236308201053402,0.1474381669810581,1.5760036004814582,-0.03018594020870502,7.697725510750371,0.47619047619047616,0.01682338675437212
3,2020-07-02,2020-09-30,63.0,0.02896588158705793,0.12099557616525058,0.07663558305173872,1.578843291158407,-0.038503430356042756,3.142462244179276,0.6190476190476191,0.015608061962286878
4,2020-10-01,2020-12-30,63.0,0.0037278962816724714,0.014995175813383943,0.05117226183725745,0.2930332816062133,-0.016607787309754873,0.9029002800738101,0.5555555555555556,0.036774483638584224
5,2020-12-31,2021-04-01,63.0,0.07556398679591259,0.3382739030277757,0.06672914692336913,5.069357524025371,-0.01321727402841244,25.593318433181235,0.6825396825396826,0.016337256871831577
6,2021-04-05,2021-07-01,63.0,0.015456051153206252,0.06327236793892399,0.05232710883705782,1.209169956932816,-0.01695623951098313,3.731509448067205,0.5555555555555556,0.019525268749381076
7,2021-07-02,2021-09-30,63.0,-0.025202994946725954,-0.09706446545129144,0.05583535670184092,-1.738405039115496,-0.033411749345217734,-2.905099773388082,0.4603174603174603,0.049737688035760216
8,2021-10-01,2021-12-30,63.0,0.0006396589357360316,0.0025610917713363435,0.06616676146120834,0.038706621191333924,-0.03933863100692092,0.0651037340594228,0.5714285714285714,0.032171933046475774
9,2021-12-31,2022-03-31,63.0,0.04420924865721343,0.18891318095456966,0.07714149170903127,2.448917913943487,-0.023595714491183584,8.0062496528832,0.5714285714285714,0.032381889744953825
10,2022-04-01,2022-07-01,63.0,0.01645328875666019,0.06745530890237439,0.06384762555219592,1.0565045813211826,-0.023250499427246663,2.9012412878892935,0.5238095238095238,0.02095912098215617
11,2022-07-05,2022-09-30,63.0,-0.0028445714006751777,-0.011329828086887317,0.06857148755044482,-0.1652265174873521,-0.04741415744859556,-0.23895453798099525,0.49206349206349204,0.04025308099306077
12,2022-10-03,2022-12-30,63.0,-0.02955583178443455,-0.11308455455372757,0.07332428835450946,-1.5422523299099,-0.03397263054817323,-3.3286958569008522,0.5714285714285714,0.030325463356490872
13,2023-01-03,2023-04-03,63.0,5.1619049090678715e-06,2.0647779508387032e-05,0.052787003023285005,0.00039115271422548916,-0.03583053080215204,0.0005762621721235258,0.5238095238095238,0.04658647068373873
14,2023-04-04,2023-07-05,63.0,0.004166221441572304,0.016769319733276333,0.04849516743870105,0.3457936247869052,-0.022318067555507803,0.7513786617756647,0.49206349206349204,0.03791389732231683
15,2023-07-06,2023-10-03,63.0,0.018441618929922576,0.07583223872049061,0.04825212040677135,1.5715835507582971,-0.014234517907221522,5.32734857722291,0.5873015873015873,0.008623708334732189
16,2023-10-04,2024-01-02,63.0,-0.01892139342464305,-0.07356442762927795,0.05640422991816109,-1.304236007406097,-0.04058268745080218,-1.812704683948274,0.4444444444444444,0.045862522572999304
17,2024-01-03,2024-04-03,63.0,0.04124112309589001,0.17545294320852478,0.06084227638565254,2.8837340354658236,-0.018819416108235565,9.322974857426358,0.5079365079365079,0.020767184986535233
18,2024-04-04,2024-07-03,63.0,0.0006616779649764037,0.0026493399252507377,0.05610550727902284,0.047220675005665506,-0.02638582407618162,0.10040770065022478,0.49206349206349204,0.026715840717031654
19,2024-07-05,2024-10-02,63.0,0.029393485177734213,0.12286013016965658,0.0554687586121085,2.214942847897752,-0.03431762951847306,3.5800878992391185,0.5873015873015873,0.02295026421669987
20,2024-10-03,2025-01-02,63.0,-0.0033453159485929973,-0.01331426658793533,0.05137714129045258,-0.25914767255471105,-0.01359953821335702,-0.9790234329323398,0.5238095238095238,0.018835218197550845
21,2025-01-03,2025-04-03,63.0,0.02882448576096963,0.12037953464243345,0.07325303382857176,1.6433385533785274,-0.027551276587712503,4.36929063011625,0.49206349206349204,0.039582930000980995
22,2025-04-04,2025-07-04,63.0,-0.006391689420556568,-0.02532267834779478,0.06748578460849977,-0.3752298131332004,-0.03657040642709797,-0.6924363391551253,0.5238095238095238,0.040245189410173125
23,2025-07-07,2025-10-02,63.0,0.05304550880099623,0.22966995217273434,0.05381171954038518,4.2680284914584306,-0.015420973186222597,14.893350075851634,0.5873015873015873,0.03155760371892835
24,2025-10-03,2026-01-02,63.0,0.035866529625389054,0.1513707769861954,0.06340072620695043,2.3875243398963,-0.020864309997293495,7.2550099670600705,0.6190476190476191,0.02435750047172614
25,2026-01-05,2026-04-06,63.0,0.018286545941927912,0.07517714208467896,0.06885355958235788,1.091841039746932,-0.02700206364668445,2.7841258012111187,0.6031746031746031,0.03790758060432921
26,2026-04-07,2026-07-07,63.0,-0.0003866016901642455,-0.0015455102265609089,0.050008331220831696,-0.030905054994458687,-0.024014430000674603,-0.06435756445260175,0.49206349206349204,0.028530334738534266
27,2026-07-08,2026-09-07,44.0,-0.021850818655358317,-0.11885502927960068,0.05276210429301834,-2.2526590035061957,-0.02973786423561997,-3.996757411288343,0.45454545454545453,0.01752657662707582
